short_name
JASON_CS_S6A_L2_ALT_LR_STD_OST_NTC_F08
MUR25-JPL-L4-GLOB-v04.2
OPERA_L3_DSWX-HLS_V1
OPERA_L3_DSWX-S1_V1
SMAP_JPL_L3_SSS_CAP_8DAY-RUNNINGMEAN_V5
SMODE_L2_APEX_FLOAT_V1
SMODE_L2_DOPPLERSCATT_WINDS_CURRENT_V1
SMODE_L2_DRIFTER_POSITIONS_V1
SMODE_L2_SHIPBOARD_RADIOMETER_METEOROLOGY_V1
SWOT_L2_HR_LakeSP_D
SWOT_L2_HR_PIXCVec_D
SWOT_L2_HR_PIXC_D
SWOT_L2_HR_Raster_D
SWOT_L2_HR_RiverSP_D
